# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.714815688314973,0.9091376206088571,2.438272319424209,5.21436663393495,43.386010180050185,0.0,-0.8086218753129323,-1.236671960689915,-114.60212703769707,348.8818317673605
 0.7181406207800981,0.9173023563454628,2.4556094965070168,5.214294505123298,43.00875798180043,0.0,-0.7950273101019896,-1.2578184262270382,-113.46161229038835,343.0189212176377
 0.7214601674921655,0.9255113243724248,2.472918364763611,5.214226446542273,42.6358322251419,0.0,-0.7817790761949458,-1.2791337482031027,-112.34237352432909,337.1661443987392
 0.7247744186970253,0.9337644707618478,2.4901994083372463,5.2141622663651646,42.267140793695084,0.0,-0.7688682943652582,-1.300612871318297,-111.24426262746316,331.3300136259186
 0.7280834595508998,0.9420617354564744,2.5074530841502014,5.214101782017292,41.902593308138414,0.0,-0.7562862662408847,-1.322250640581499,-110.16711538324837,325.5164537946328
 0.731387370376386,0.9504030524554791,2.524679823274935,5.214044819807844,41.54210110971756,0.0,-0.744024476799698,-1.3440418039757773,-109.11075312324827,319.7308631490197
 0.7346862269050591,0.958788349994913,2.541880032232478,5.213991214240979,41.185577241954,0.0,-0.7320745958691556,-1.3659810156542176,-108.0749843664632,313.97811568412766
 0.7379801005074568,0.9672175507229848,2.559054094223914,5.213940807848578,40.832936431078345,0.0,-0.7204284790794047,-1.3880628390452363,-107.05960623958613,308.2626261487279
 0.7412690584111467,0.9756905718702787,2.5762023702973202,5.213893450617725,40.48409506509266,0.0,-0.7090781681740569,-1.4102817501420108,-106.06440586981219,302.5883574421657
 0.7445531639075652,0.9842073254150924,2.593325200454577,5.213848999652999,40.138971171821986,0.0,-0.6980158908664392,-1.4326321407363825,-105.08916161403549,296.95886957353804
 0.7478324765482494,0.9927677182440121,2.6104229047017045,5.213807318950958,39.7974843959333,0.0,-0.6872340600154505,-1.4551083221595824,-104.13364424364258,291.3773327185912
 0.7511070523310569,1.0013716523078746,2.6274957840449487,5.213768278896364,39.45955597520154,0.0,-0.6767252729122079,-1.4777045280082672,-103.1976179955853,285.84656765975075
 0.7543769438769289,1.0100190247732441,2.6445441214361463,5.21373175594156,39.125108716027874,0.0,-0.6664823094875377,-1.5004149183928168,-102.28084157588621,280.36906020826575
 0.7576422005977189,1.0187097281695507,2.6615681826707625,5.213697632478099,38.79406696840732,0.0,-0.6564981306131257,-1.5232335834164012,-101.38306905940625,274.9469929159939
 0.7609028688555722,1.0274436505320006,2.678568217240196,5.213665796417306,38.46635660037676,0.0,-0.6467658762289212,-1.5461545464189772,-100.50405073907024,269.5822606973031
 0.7641589921143251,1.0362206755404118,2.6955444591408826,5.213636140785586,38.14190497213857,0.0,-0.6372788628691166,-1.5691717680669075,-99.64353387606718,264.27650141617266
 0.767410611083343,1.0450406826540664,2.712497127644313,5.213608563905917,37.82064090982619,0.0,-0.6280305811790817,-1.592279150041663,-98.80126342399073,259.03110422894343
 0.7706577638542196,1.0539035472427372,2.729426428026713,5.213582968512359,37.50249467905422,0.0,-0.6190146932155957,-1.6154705388418165,-97.97698267398694,253.8472342283002
 0.7739004860307085,1.0628091407139788,2.7463325522645503,5.213559262157547,37.18739795839791,0.0,-0.6102250294825426,-1.6387397299123865,-97.17043382282336,248.72585663100793
 0.7771388108522546,1.0717573306368187,2.7632156796944587,5.213537356591641,36.87528381268701,0.0,-0.6016555863227229,-1.6620804705095993,-96.38135854509056,243.66773601051906
 0.7803727693114592,1.0807479808619418,2.780075977640852,5.213517167607663,36.5660866663255,0.0,-0.5933005221440801,-1.6854864654192145,-95.60949847127986,238.6734658306479
 0.7836023902658057,1.0897809516385002,2.7969136020131153,5.21349861493894,36.25974227667262,0.0,-0.585154154922136,-1.7089513790311646,-94.85459562695668,233.74348104448967
 0.7868277005439384,1.0988560997276293,2.813728697873775,5.21348162211388,35.95618770745051,0.0,-0.5772109584635348,-1.7324688406157052,-94.11639285689161,228.87806331999147
 0.7900487250467899,1.107973278512805,2.830521399978239,5.213466116012951,35.65536130230508,0.0,-0.5694655593271168,-1.7560324476542615,-93.39463418521419,224.077361422881
 0.7932654868438139,1.1171323381071088,2.847291833289413,5.213452027031948,35.35720265853631,0.0,-0.5619127332291849,-1.7796357705817183,-92.68906514763152,219.34140048399522
 0.7964780072645861,1.126333125457531,2.8640401134666913,5.2134392886607674,35.061652601021194,0.0,-0.5545474020270935,-1.8032723556987162,-91.99943309436546,214.67009168468056
 0.7996863059860042,1.1355754844463815,2.8807663473322243,5.213427837586008,34.76865315633626,0.0,-0.5473646300120489,-1.8269357301694618,-91.32548747063763,210.06323981886746
 0.8028904011153186,1.1448592559899122,2.8974706333133273,5.213417613064858,34.47814752723937,0.0,-0.5403596206666632,-1.8506194055844885,-90.66698002785319,205.52056546628077
 0.8060903092692047,1.1541842781342493,2.9141530618660196,5.213408557502744,34.190080067258165,0.0,-0.5335277130968744,-1.874316882614168,-90.02366509531494,201.04168669872354
 0.809286045649076,1.1635503861487015,2.9308137158764245,5.2134006156901735,33.90439625580449,0.0,-0.5268643789728826,-1.8980216539776158,-89.39529970403252,196.62616580022384
 0.8124776241128322,1.1729574126165467,2.9474526710441737,5.213393735013133,33.621042673427716,0.0,-0.5203652188361849,-1.9217272096635034,-88.78164381498321,192.27347722076854
 0.8156668928668988,1.1824051875233708,2.9623639885404485,4.675465959794604,33.33996697751069,0.0,-0.5140259591486597,-1.9454270396308788,-88.13170591491696,203.78900311788465
 0.8188717535356161,1.1918935383430418,2.960612582096538,-0.5464844262984798,33.061117878291135,0.0,-0.5078424485591657,-1.969114639465779,-87.00818164776867,350.56883380766084
 0.8221086067410764,1.2014222901213902,2.943831917454347,-5.1842525987534085,32.78444511525955,0.0,-0.5018106551420407,-1.9927835125719753,-85.47584504754856,473.4031798646919
 0.8253779463436196,1.2109912655576818,2.9268832851894593,-5.184114936149088,32.50989943388727,0.0,-0.49592666286144105,-2.016427175401525,-83.97588343490419,458.7965139741243
 0.8286802826488695,1.220600285083937,2.9097640694496483,-5.183971030629344,32.23743256286846,0.0,-0.49018666853731413,-2.0400391609668547,-82.50730568708309,444.70871894132404
