# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,134.9838708539562,0.0,-0.38351482500688977,-2.6074611326486146,0.0,0.0
 0.023114795336337594,0.001391835253763217,0.060214041851159444,2.6050000000000004,134.9838708539562,0.0,-0.38351482500688977,-2.6074611326486146,0.0,0.0
 0.03288545276827605,0.002817185074832612,0.1458806463125186,8.767742094951668,134.95291874988712,0.0,-0.3545685173698779,-2.8203293609308875,-3.1678629902546422,-324.2220917396499
 0.04051411677360527,0.00427583047894757,0.19120587865660085,5.94143775534209,134.92362416499387,0.0,-0.328447385856673,-3.0446276726841646,-3.8400675233316464,-88.11562976261844
 0.04705349773701609,0.005767552446393622,0.22811363580016886,5.643922161757286,134.89586320083353,0.0,-0.304813426036948,-3.280695384719651,-4.245197567727293,-61.952354001461735
 0.05290824972410087,0.007292131925500673,0.26040035213620977,5.51461725573746,134.869524067779,0.0,-0.28337612589546374,-3.5288787890652995,-4.498761538091471,-43.309088228421096
 0.058284331313392425,0.00884934983567142,0.2896566736026699,5.4419414922449905,134.8445056418993,0.0,-0.2638848327110243,-3.789531932269418,-4.653654425466325,-28.811483754892986
 0.06330314923077562,0.010438987070100679,0.31673538681755803,5.395436467439513,134.82071622375574,0.0,-0.24612251974896454,-4.063017073853954,-4.74004407714746,-17.213147219769937
 0.0680431851640888,0.01206082449815001,0.3421572010986218,5.363211300234697,134.79807246629355,0.0,-0.2299006343806534,-4.349705265903138,-4.77712780678012,-7.823512343447396
 0.07255851558085788,0.013714642967490238,0.3662674304405856,5.339637881742382,134.77649844594785,0.0,-0.21505481586994651,-4.649977243963445,-4.777949419957194,-0.18196080934011508
 0.07688819139130448,0.01540022330598439,0.389308671662483,5.3217012613978465,134.75592485516333,0.0,-0.2014413508899572,-4.964224056193294,-4.751762414839655,6.048260023153391
 0.0810614475662231,0.017117346323389657,0.41145880948435937,5.30763914158907,134.7362882976803,0.0,-0.18893420834279026,-5.29284775251321,-4.7053323975281405,11.125609204285187
 0.08510080465609318,0.018865792812863356,0.43285266703913416,5.296352136934473,134.71753067263913,0.0,-0.17742254652269562,-5.636262242871604,-4.6437154784399475,15.254140131041131
 0.08902401830870754,0.0206453435523348,0.45359516382330656,5.28711883186631,134.69959863337317,0.0,-0.16680861394951307,-5.994894246304713,-4.570752667012566,18.597715517930375
 0.09284535944220805,0.022455779305727078,0.4737697290411347,5.279446276325342,134.68244311192908,0.0,-0.1570059781928984,-6.369184227949553,-4.489398052872611,21.2895450308647
 0.09657648570335799,0.024296880824062426,0.4934439066042003,5.272986274391585,134.66601889907665,0.0,-0.14793802863442973,-6.759587167888414,-4.401945070429754,23.438762540269426
 0.10022705288074442,0.026168428846460604,0.5126732180115868,5.267485974920059,134.65028427318475,0.0,-0.13953669130592208,-7.166573828295719,-4.310186644245248,25.13538903020511
 0.10380515503352214,0.028070204101044948,0.5315039016166644,5.262757406313592,134.6352006707748,0.0,-0.13174133997007917,-7.590631765451286,-4.215531520884429,26.454002518440426
 0.10731764841143689,0.030001987305760848,0.5499749029741194,5.25865798739831,134.62073239406166,0.0,-0.12449785725853244,-8.03226675559081,-4.119090103940337,27.456682922302413
 0.11077039448900845,0.03196355916912771,0.5681193517556609,5.255077661054944,134.60684635037885,0.0,-0.11775784190298583,-8.492003452507602,-4.0217390363657515,28.19525832118423
 0.11416844542714791,0.033954700390910565,0.5859656779815883,5.251930165502129,134.59351181912922,0.0,-0.11147789356164066,-8.970388370740602,-3.9241705002011837,28.713088161647683
 0.11751618774063723,0.035975191662746486,0.6035384694020799,5.249146969790417,134.58070024387735,0.0,-0.10561905176700367,-9.467988807606478,-3.826929928338365,29.046611942322887
 0.12081745508989772,0.03802481366871059,0.6208591395735445,5.246672971016605,134.56838504575953,0.0,-0.10014625172398149,-9.985396185931693,-3.7304455576950977,29.226463789695984
 0.12407561790332947,0.04010334708583232,0.6379464551473581,5.244463383895762,134.5565414554727,0.0,-0.09502787462710725,-10.523228094114863,-3.6350517039885033,29.278418289391233
 0.12729365536653042,0.04221057258457274,0.6548169568679851,5.242481454471953,134.5451463629631,0.0,-0.09023536980154644,-11.08212890576376,-3.5410067906023146,29.224306572442032
 0.13047421381975957,0.044346270829258724,0.6714852992302843,5.240696754174162,134.5341781808093,0.0,-0.0857429028446841,-11.662772857263931,-3.4485082777367615,29.082475365809366
 0.1336196545567794,0.04651022247848934,0.6879645271208851,5.239083889469203,134.52361672194456,0.0,-0.08152707146376453,-12.265864357024762,-3.3577039746553883,28.868546786675903
 0.13673209327120672,0.04870220818549919,0.7042663030919044,5.237621513784194,134.5134430882211,0.0,-0.07756661877979171,-12.892143756310391,-3.2687017020841402,28.595670706282217
 0.13981343285644476,0.05092200859850488,0.7204010955625354,5.236291562257178,134.50363956973857,0.0,-0.07384224511457395,-13.542383475047322,-3.1815767822212164,28.27501398428088
 0.14286539086937555,0.05316940436101593,0.736378335805766,5.235078652962083,134.49418955350308,0.0,-0.07033634794790342,-14.217400095050115,-3.096378192437023,27.916042561272754
 0.14588952267435734,0.055444176112125564,0.7522065497814283,5.233969613886482,134.4850774404487,0.0,-0.06703289678826992,-14.918048419697566,-3.013133567585404,27.526784617815544
